제목,내용,조회수,첨부파일명,첨부파일 링크,출처
과기정통부 5G·VR로 시설 안전 관리 '디지털트윈' 사업 추진,과학기술정보통신부가 5G+전략 '5G기반 디지털트윈 공공선도' 사업을 추진한다.사업은 정부기관과 지자체가 보유한 공공시설물과 기업 산업시설물을 대상으로 5세대(5G) 이동통신과 가상현실·증강현실(VR·AR) 시뮬레이션 등 디지털트윈 기술을 선제 적용한다.,1,,,전자신문
"과기정통부-국방부, 민·군 주파수 공동 관리",민·군 주파수 이용 효율화를 위해 과학기술정보통신부와 국방부가 손잡았다.과기정통부와 국방부는 10일 주파수 이용 효율화를 위한 업무협약을 체결했다. 주파수 자원 발굴·개발과 활용 협력으로 산업 혁신성장과 스마트 국방혁신 추진동력을 동시에 확보한다.,2,,,전자신문
[이슈분석]주파수 재할당 대전 ··· 팽팽한 기싸움·수싸움 예고,"2021년 이용기간이 만료되는 2G·3G·LTE48 재할당 대상 주파수 320㎒ 폭을 놓고 '주파수 대전'이 불가피할 전망이다.과학기술정보통신부가 연내 주파수 재할당 대가와 이용기간 등 할당방안을 확정하기 위한 태스크포스(TF) 가동을 시작하자, 이동통신사 긴장감이 고조되고 있다.",1,,,전자신문
"""서울시 자가망 기반 공공와이파이 구축은 시기상조""","서울시가 대규모 자가망을 기반으로 공공 와이파이망과 사물인터넷80(IoT)망을 구축하기 위한 망 설계에 착수했다. 이동통신사와 과학기술정보통신부는 대규모 자가망의 경제성과 적법성이 충분히 검증되지 않은 상태에서 추진한다며 우려를 제기, 논란이 확산될 것으로 전망된다.서울시는 대규모 자가망 구축 사업인 '스마트 서울 네트워크(S-넷)' 정보화전략계획(ISP)의 사업자로 대영유비텍을 선정, 망 설계에 본격 착수한 것으로 확인됐다.",3,,,전자신문
韓 5G 28GHz 전자파 평가기술 국제표준화 추진,"정부가 5세대(5G) 이동통신 28㎓ 대역 전자파 평가 기술 국제표준 채택을 추진한다. 세계 최초 5G 상용화이어 평가 기술도 선도한다는 계획이다.국립전파연구원은 '28㎓ 휴대폰 전자파 인체노출량 평가기술 연구'에 돌입했다. 기존 평가방법을 개선, 고도화하고 간소화한다. 정확한 표준을 마련해 국제전기기술위원회(IEC) 국제표준 채택을 추진한다.",2,,,전자신문
"과기정통부, 6G·양자 포함 차세대 네트워크 전략 수립···5G 이후 주도 지속","과학기술정보통신부가 차세대 네트워크 혁신전략을 수립한다. 인공지능(AI)과 6세대(6G) 이동통신, 양자정보통신 등 향후 5~10년 이상 혁신 네트워크 진화 방향을 담은 혁신 로드맵이 될 전망이다.과기정통부는 연내 '차세대 네트워크 전략(가칭)'을 수립하기 위해 전문가와 정보통신 관련 유관기관 등을 대상으로 과제를 제안받으며 의견을 수렴 중인 것으로 확인됐다.",2,,,전자신문
우수 중소기업 전파 활용 제품 제작 지원한다,"과학기술정보통신부가 우수 중소기업의 전파기반 분야, 전파 융·복합 신산업 분야 제품 제작을 지원한다.과기정통부는 전파를 활용한 우수기술 제품 상용화와 전파산업 활성화를 촉진하는 전파산업 중소기업 제품화 지원 사업을 실시한다고 2일 밝혔다. 올해 총 12개 기업에 4억5000만원을 투입한다.",0,,,전자신문
"[국제]EU, 안보 위험 5G 공급자 제한 권고…화웨이 금지 안해","유럽연합(EU)이 회원국에 5세대(5G) 이동통신 네트워크 구축에 안보 위험이 있는 공급자의 핵심 부품 공급을 제한하거나 금지할 수 있다는 지침을 내놨다. 미국이 요구했던 중국 화웨이 배제는 수용하지 않았다.EU 집행위원회는 29일(현지시간) 5G 구축 관련 안보 위험에 대처하기 위해 발표한 지침에서 EU 회원국에 공급자의 위험성을 평가하라고 요구하고, 위험성이 지대한 공급자는 핵심 기반시설에서 배제할 수 있도록 했다.",1,,,전자신문
과기정통부 세계 최초 5G 서비스 통신품질평가 실시,과학기술정보통신부가 세계 최초로 5세대(5G) 이동통신 품질을 평가한다.이동통신사 5G 품질과 커버리지 경쟁을 촉진하는 효과가 기대된다.과기정통부는 28일 5G 서비스 통신품질평가 추진 계획(안)을 공개했다.,5,,,전자신문
"정부, 주파수 재할당 논의 착수…2G·3G·LTE 주파수 80% 대상","정부가 주파수 재할당 계획 수립에 착수, 다음 달 외부 전문가로 연구반을 구성한다.과학기술정보통신부는 전파법에 근거, 유효경쟁 상황과 주파수 효율성을 감안해 합리 타당하고 공정한 재할당 정책을 마련할 계획이라고 밝혔다.전파법 16조에 따르면 주파수 할당대가를 받고 재할당하는 등 새로운 조건을 붙이는 경우에는 이용 기간이 만료되기 1년 전에 주파수 이용자에게 이를 알려야 한다.",4,,,전자신문
재난망·철도망 간섭 심각···달리는 열차 멈출 수도,"국가재난안전통신망(PS-LTE48)과 철도전용 무선통신망(LTE-R502), 초고속해상무선통신망(LTE-M609) 사이에 간섭 우려가 현실화됐다. 전파 간섭은 국민 생명과 직결된다는 점에서 안전 대책이 시급하다는 지적이다.행정안전부, 해양수산부, 국토교통부가 구성한 '공공망 전파간섭 해소 및 상호연동 협의체'(이하 협의체)가 부처 시각차와 이견으로 표류하고 있다. 협의체는 700㎒ 대역을 공유하는 PS-LTE·LTE-M·LTE-R 운영 안정성을 높이기 위한 안전기술과 망 설계 방안 도출이 목적이었다.",2,,,전자신문
5G 기지국수 준공신고 9만2000국 돌파···노웅래 의원 공개,"SK텔레콤, KT, LG유플러스가 준공을 완료한 5G 기지국이 1월 현재 총 9만2000개에 이르는 것으로 나타났다. 노웅래 국회 과학기술정보방송통신위원회 위원장(더불어민주당)은 과학기술정보통신부에서 '통신 3사 5G 기지국 준공신고 현황'을 제출받아 이같이 공개했다.준공이 완료된 5G 기지국 수는 1월 17일 현재 전국 9만2840개로, 지난해 9월 7만9845개에 비해 16.3% 증가한 것으로 집계됐다.",5,,,전자신문
"국가인프라에 AI, 5G 입힌다···공공서비스 혁신모델 구축","과학기술정보통신부가 새해 인공지능(AI) 분야 첫 사업으로 국가인프라에 AI·5G 기술을 적용하는 사업을 추진한다. 76억원 예산을 투입, 공공분야에서 AI 기반 혁신서비스 모델을 구축할 예정이다.과기정통부는 한국정보화진흥원(NIA)과 '국가인프라 지능정보화' 사업계획을 확정, 3월부터 사업에 착수한다.",1,,,전자신문
"과기정통부, 공공용 주파수 2823㎒ 폭 공급","과학기술정보통신부가 사회안전 분야 공공용 주파수 2823㎒ 폭 주파수를 공급한다.이는 전년 336.4㎒ 폭보다 8배 이상 늘린 것으로 사회안전망 강화에 관계되는 분야 주파수 공급을 확대한 결과다.과기정통부는 중앙행정기관, 지자체, 공공기관 등 147개 기관이 제출한 373건의 주파수 이용계획 적정성 조사·분석, 전문가 자문, 평가 등을 거쳐 공공용 주파수 정책협의회(위원장 과기정통부 제2차관)를 통해 이같이 확정했다.",3,,,전자신문
[CES 2020]진화하는 5G···단말·서비스 다양화,5세대(5G) 이동통신 진화가 시작됐다.TV와 노트북 등으로 지원 단말이 다양화되는 것은 물론 개인용(B2C)에서 기업용(B2B)으로 서비스 확대 채비도 마쳤다.7일(현지시간) 미국 라스베이거스에서 개막한 'CES 2020'은 이 같은 5G 진화를 확인할 수 있는 자리였다.,5,,,전자신문
"정부, 새해 '1등 5G' 이어간다... 5G 투자 촉진 3대 패키지 추진","정부가 세계 최초 5세대(5G) 이동통신 상용화에 이어 1등 5G 국가 도약을 위한 산업 육성 정책을 추진한다.과학기술정보통신부는 세액공제 확대, 주파수 이용대가 체계 주파수 면허료 통합, 5G 기지국 등록면허세 완화 등으로 구성된 '5G 투자 촉진 3대 패키지'를 통해 5G 성과를 지속 확산한다는 복안이다.",3,,,전자신문
"방통위, AI 시대 대비 '지능정보사회 정책센터' 설립","방송통신위원회가 AI 시대 이용자보호정책 수립을 위한 '지능정보사회 정책센터'를 정보통신정책연구원(KISDI)에 설립한다.센터는 인공지능(AI) 등 지능정보기술이 사회에 미치는 영향이 확대되고 국제사회 대응이 빨라지는 가운데, 중장기적인 이용자보호 대응체계를 마련하기 위한 목적이다.지능정보시대 이용자 중심의 정책개발을 지원하는 '연구혁신' 부문과 다양한 이해관계자와의 정책 네트워크를 운영하는 '정책실행' 부문으로 구성된다.",8,,,전자신문
망 이용계약 가이드라인 제정...제2 페북사태 차단한다,인터넷 망 이용계약 가이드라인이 확정됐다. 통신사업자(ISP)와 콘텐츠 사업자(CP)가 망 이용계약을 할 때 지켜야 할 원칙과 절차를 마련하고 불공정행위 유형도 구체화했다.인터넷 속도가 느려지는 등 이용자 피해를 차단하고 국내외 사업자간 역차별 해소에도 기여할 것으로 기대된다. 정부는 새해 1월 시행 이후에도 사업자 간 협의를 통해 가이드라인을 지속 개선한다.,2,,,전자신문
"7년여 만에, 한중일 과학기술장관회의 개최",과학기술로 동북아 공동문제 해결 등을 위한 3국 정부 장관급 협의체인 '한·중·일 과기장관회의'가 26일 서울 중구 더플라자호텔에서 개최됐다.,0,,,전자신문
"새해 양자산업 육성, 종합계획·국책과제 동시 추진","정부가 새해 양자정보통신진흥 종합계획을 수립하고, 수천억원 규모 국책과제를 추진한다. 양자산업 도약 전기가 될 지 관심이다.과학기술정보통신부는 2020년 양자정보통신진흥 종합계획(이하 종합계획)을 수립하고, 양자산업 육성을 위한 국책과제를 추진한다.앞서 과기정통부는 11월 초 조직개편으로 '네트워크정책실'을 신설하고 '혁신네트워크팀'을 가동, 양자산업 등 미래기술 육성을 전담토록 했다.",0,,,전자신문
"국내 연구진, 국제무대서 '유연이중기술' 실시간 시연","국내 연구진이 5세대 이후(B5G)와 6세대(6G) 이동통신 요소 기술을 선보였다.채찬병 연세대 교수 연구팀은 '국제전기전자공학회(IEEE136) 글로브컴 2019'에서 강화학습 기반 유연이중기술, 360도 지원 렌즈 기반 밀리미터파62, 무선 가상현실409·햅틱 오픈 플랫폼 기술을 실시간 시연했다.유연이중은 강화학습 기법을 기반으로 전이중(full duplex)과 반이중(half duplex) 통신을 상황에 따라 유연하게 적용하는 기술이다.",0,,,전자신문
[2019 결산]5G 세계 최초 상용화···대중화 '원년',2019년은 우리나라 이동통신 역사에 '5G 원년'으로 기록된 해다. 세계 최초 5G 스마트폰 상용화 이후 가입자가 400만명을 넘어서며 대중화에 성공했다.범 정부 차원 5G플러스(5G+) 전략이 수립되는 등 통신·전파분야에서 장기 정책과 제도 개선이 이뤄진 점도 중요한 성과다. 5G 서비스 품질을 높이고 융합서비스 분야에서 성공 모델을 창출해 만들어 가는 것은 과제다.,2,,,전자신문
"이노인스트루먼트, 휴대형 5G 스펙트럼분석기 출시…외산과 본격 경쟁",광통신 접속기 및 계측기 전문 기업 이노인스트루먼트가 휴대형 5G 스펙트럼 분석기 시장에 출사표를 던졌다. 외산 일색인 무선 통신장비 계측·유지관리 시장에서 품질과 서비스 경쟁력을 앞세워 점유율을 확대할 계획이다.이노인스트루먼트(대표 권대환)는 최신 5G기술을 적용한 휴대형 5G 스펙트럼 분석기 '5G 스마트' 와 '5G 프로'를 출시했다고 23일 밝혔다. 스펙트럼 분석기는 기지국 설치 후 주파수 파장을 분석해 안정적 통신이 가능한지 파악할 수 있는 측정장비다.,3,,,전자신문
"[뉴스해설]2019 통신품질평가, 환경 변화 반영",'2019년 통신서비스 품질평가(이하 통신품질평가)'는 새로운 통신 기술 도입에 따른 환경 변화가 반영됐다.롱텀에벌루션(LTE) 다운로드 속도 증가세 둔화는 LTE 투자가 줄었음을 의미한다. 상대적으로 5세대(5G) 이동통신 투자가 늘었기 때문이다.,0,,,전자신문
저비용·초고속 무선백홀로 인터넷 속도 ↑···60㎓ 대역 기술 기준 개정,"비면허 주파수 대역을 활용, 인터넷 데이터를 무선으로 전송할 수 있도록 저비용·초고속의 60㎓대역 무선백홀72(Backhaul) 이용을 위한 제도적 기반이 마련됐다.과학기술정보통신부가 무선백홀 활성화를 위해 60㎓ 용도미지정 대역(57㎓∼66㎓) 기술기준을 개정했다고 23일 밝혔다.",1,,,전자신문
인터넷망 상호접속 요율 최대 30%인하···무정산 구간도 확대,"인터넷망 상호접속 요율이 최대 30%까지 낮아지고, 통신사 간 상호 데이터트래픽 전송비율이 1대1.8까지 무정산이 도입된다. 과학기술정보통신부는 접속료 부담을 완화해 인터넷 생태계 갈등을 해소하고 시장 경쟁을 활성화시키겠다는 목표로 '인터넷망 상호접속제도 개선 방안'을 마련했다.정부는 통신사·콘텐츠제공사업자(CP) 등 이해관계자와의 협의를 통해 개선 방안을 도출했다고 22일 밝혔다. 개선 방안은 인터넷망 상호접속료를 산출하는 '데이터트래픽×상호접속요율'이라는 골격을 유지한 채 2개 변수 모두를 축소하는 게 골자다.",2,,,전자신문
[ET단상]세계 일등 5G 국가를 향해,"우리나라가 5세대(5G) 이동통신을 '세계 최초'로 상용화한 지 8개월이 지났다. 상용화 추진 과정에서 무리한 일정이라는 우려도 있었다. 그러나 정부는 상용화 로드맵을 시장에 제시하고, 기업은 이를 지키기 위해 밤낮없이 노력함으로써 커다란 이정표를 세울 수 있었다.우리 생활에도 5G가 조금씩 스며들고 있다. 헬스장에 가지 않아도 집에서 유명 운동선수가 나의 운동 자세를 교정해 준다. 가상의 e스포츠 경기장에서 좋아하는 선수를 응원한다. 머지않은 미래에는 5G 자율주행버스를 타고, 홀로그램291으로 통화하는 등 많은 변화가 있을 것으로 기대된다.",0,,,전자신문
5G 확산세 가파르다···2025년 가입건수 26억건,5세대(5G) 이동통신이 급속하게 확산돼 2025년 세계 5G 서비스 가입건 수가 26억건에 이를 것으로 전망됐다. 롱텀에벌루션(LTE48) 가입건수는 2022년 정점을 찍은 이후 감소세로 돌아설 전망이다.에릭슨LG가 발표한 '에릭슨 모빌리티 보고서'에 따르면 2019년 말 세계 5G 가입건수는 1300만건으로 추정된다. 한국이 초기 5G 가입 증가를 이끌었으며 중국이 가세하면서 5G 가입 건수가 대규모로 증가했다.,1,,,전자신문
5G 네트워크 슬라이싱 허용 의견 제시 ···망 중립성 개정 속도 낼 듯,5세대(5G) 네트워크 슬라이싱452 기술을 허용해야 한다는 의견이 제기됐다.과학기술정보통신부가 운영한 전문가 연구반이 이 같은 방향으로 잠정 결론냈다. 과기정통부의 최종 결정에도 영향을 미칠 것으로 전망된다.네트워크 슬라이싱은 하나의 물리적 '코어 네트워크'를 독립된 다수 가상 네트워크로 분리해 맞춤형 서비스를 제공하는 5G 특유의 기술이다.,0,,,전자신문
"3GPP, 릴리즈17 개발 과제 확정···완전한 LTE 대체 목적","이동통신 국제표준화단체(3GPP)가 차세대 표준규격 개발 로드맵 '릴리즈17(Release17)' 주요 개발 과제를 확정했다. 롱텀에벌루션(LTE48)이 제공하는 기능을 모두 제공, LTE를 완전히 대체하는 게 릴리즈17 개발 목적이다.3GPP는 무선접속네트워크(RAN) 연례회의에서 릴리즈17에서 개발할 RAN1~RAN3까지 아이템을 확정했다. RAN1은 물리적 신호 전송과 하드웨어 표준을 연구한다. RNA2와 RAN3은 각각 무선 프로토콜과 무선 아키텍처를 연구하는 분과다.",0,,,전자신문
과기정통부 5G· 밀리미터파 시험시설 구축···글로벌 선도 기반 확보,"28㎓ 대역 5세대(5G) 이동통신 상용화를 앞두고 단말기와 통신장비 시험시설이 구축된다.국립전파연구원 전파시험인증센터는 '5G 이동통신기기와 밀리미터파 이용기기 시험시설'을 구축, 전파시험 서비스를 제공한다.시험시설은 28㎓ 밀리미터파 대역을 위주로 시험하는 '5G 이동통신기기 시험시설'과 최대 500㎓급 밀리미터파 대역을 지원하는 '밀리미터파 시험시설'로 구성된다.",1,,,전자신문
정부 AI국가전략 발표···2030년까지 AI 경제효과 455조원 창출,"인공지능(AI) 생태계 조성과 인력양성에 국가 역량을 집중하는 'AI 국가전략'을 추진한다. 2030년까지 AI 융합산업을 통한 경제효과 455조원을 달성한다는 목표다.정부는 17일 문재인 대통령 주재로 열린 제 53회 국무회의에서, 과학기술정보통신부를 비롯한 전 부처가 참여해 마련한 '인공지능(AI) 국가전략'을 발표했다.",0,,,전자신문
"KT-현대중공업, 5G 기반 '디지털 트랜스포메이션' 박차",KT와 현대중공업그룹이 16일 '5G 디지털 트랜스포케이션 현장 워크숍'을 개최했다.이날 워크숍은 지난달 '5G 기반 사업협력 성과 발표회' 이후 5G 기반 스마트조선소 지속 협력을 다짐하기 위해 마련됐다.,0,,,전자신문
"국내 LTE 속도, 美·日·유럽보다 3배 이상 빨라","우리나라 LTE48 평균 속도가 북미와 유럽, 일본에 비해 최소 2~4배 이상 빠른 것으로 나타났다. 공공 와이파이는 주요국에 비해 30배 이상 빨랐다.한국통신사업자연합회(KTOA)는 주요 선진국과 국내 이동통신서비스 품질수준을 비교한 '2019년 해외 품질조사' 결과를 16일 발표했다.",0,,,전자신문
"5G시대, 최적의 IoT 솔루션은","조사에 따르면 IoT 장비의 댓수는 2017년 61억대에서 2019년 100억대, 2022년에는 149억개로 증가할 전망이다. 게다가 5G 시대의 본격적인 개막에 따라 증가세는 더 높아질 것으로 보인다. IoT대수의 증가폭은 같은 기간 스마트폰 가입자 증가폭의 1.6배에 달하는 수치이다.웨어러블기기를 포함하여 스마트TV, 스마트 냉장고같은 IoT 장비들은 내장된 센서 데이터를 실시간으로 수집하고 판단하여 필요한 동작을 수행하는 상호작용을 지속적으로 유지하고 있다. 이 과정은 기존과는 완전히 다른 방식으로 이뤄지고 있다.",2,,,전자신문
"FCC, 5.9GHz 용도변경 결정···자율주행 통신기술 파장 불가피",미국연방통신위원회(FCC)가 웨이브(DSRC) 용도인 5.9㎓ 대역 75㎒ 폭 용도변경을 결정했다.자율주행 통신 기술을 둘러싸고 이동통신 기반 차량사물통신(C-V2X)과 경쟁하던 웨이브 진영엔 타격이 불가피하다. 우리나라 자율주행 통신기술 결정에도 영향을 미칠 전망이다.,1,,,전자신문
"LG유플러스, CJ헬로 인수...방송통신기업 첫 결합","LG유플러스가 CJ헬로를 인수한다. 우리나라 방송통신 사업자간 첫 기업결합으로, 향후 방송통신 이종 사업자간 합종연횡 신호탄이 될 전망이다. 과학기술정보통신부는 LG유플러스가 CJ헬로를 인수하기 위해 신청한 주식취득 인가와 최다액출자자 변경승인에 대해 조건부 인가·변경 승인을 했다고 15일 밝혔다.",2,,,전자신문
"KT, 소방청, 세브란스 병원, 5G와 ICT 기술로 스마트하게 바꾸는 응급의료 서비스 개발","KT는 소방청, 세브란스 병원과 함께 119 신고부터 구급차, 병원 응급실까지 이어지는 응급의료체계의 전 단계를 5G와 ICT 기술로 스마트하게 바꾸는 응급의료 서비스를 개발한다고 12일 밝혔다.",0,,,전자신문
"LG유플러스, 아시아 대표로 '룩셈부르크 5G 콘퍼런스' 참석","LG유플러스가 아시아 대표 이동통신사로 글로벌 5세대(5G) 행사에 참여, 5G 비즈니스 모델과 서비스를 소개한다.LG유플러스는 11일부터(현지시간) 룩셈부르크 유럽컨벤션센터에서 열리는 '룩셈부르크 5G 콘퍼런스'에 참석, 기조연설을 한다.",1,,,전자신문
"TTA, 정보통신단체표준 262건 채택","한국정보통신기술협회가 11일 제96차 정보통신표준총회(이하 표준총회)에서 총 262건 정보통신단체표준을 채택했다.이번 표준총회에서는 정보통신기술(ICT) 융합 혁신뿐만 아니라 생활, 사회 안전에 기여하는 전 분야 표준을 망라했다.특히 양자암호키 분배, 스마트농축산업, 스마트 철도, 스마트 에너지 등 최근 ICT 융합 신산업 분야 핵심 분야부터 재난안전 통신, 해상사고 방지 등 사회안전까지 우리 산업과 국민이 필요로 하는 폭넓은 분야에서 TTA표준이 채택됐다.",0,,,전자신문
"방통위, 33개 지상파방송사업자 재허가···3개사 의결 보류","방송통신위원회가 33개 지상파방송사업자를 재허가했다. 경기방송, OBS경인TV, 티비씨 3개사에 대한 재허가 의결은 보류했다.방통위는 11일 전체회의에서 12월 말 허가 유효기간이 만료되는 한국방송공사 등 33개 방송사업자, 141개 방송국 재허가를 의결했다.방통위는 재허가 심사의 공정성과 투명성, 전문성 확보를 위해 방송·미디어, 법률, 경영·회계, 기술, 시청자 등 다양한 분야 전문가 11인으로 심사위원회(위원장 표철수 상임위원)를 구성했다.",0,,,전자신문
